,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$90k-$146k (Glassdoor Est.),"Engineering at Postmates

We're building groundbreaking tech solutions that power our revolutionary logistics platform to help connect millions of customers with their favorite merchants every day. We're tackling some of the most complex technical challenges in the modern logistics space to unlock opportunities that positively impact the local businesses and communities we serve.

WHAT WE DO


Postmates relies heavily on our engineering team to realize this vision. Building a software platform that is reliable, scales, and stays agile under demanding product needs is a serious technical challenge. Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time. If any piece is out of whack, the whole system suffers. Working with the Postmates engineering team offers an opportunity with explosive growth, cutting-edge technology, a highly visible charter, and a cool user-focused product vision.

As a Data Scientist, you'll use your full toolkit - statistical modeling, machine learning, data mining, data visualization, and software engineering - to develop data products and models that are used by millions of users and power the growth of our business. You will collaborate with a strong team of engineers, product managers and data analysts in defining the frontier of data products and models in the three-sided marketplace. Data scientists will work on how to formulate a model from a real business problem, determine evaluation metrics, evaluate different modeling approaches, conduct data analysis, and build features and algorithms for the various challenging problems at Postmates.

YOUR RESPONSIBILITIES
Modeling and forecasting demand and supply to enable more intelligent matching, optimize the overall marketplace efficiency and provide valuable insights to our merchants and Postmates
Large scale Machine Learning algorithms that powers our Search Ranking models and Personalized Recommendation Engine
Predicting the Postmates Delivery Time (PDT) and improving the dispatching algorithm
Determining the optimal pricing strategies to help our Postmates maximize their revenue
Identifying suspicious transactions and malicious users for risk control
Natural Language Processing to understand text content on Postmates platform, including named entity resolution and recognization of reviews, descriptions and interactions between users on our marketplace
OUR REQUIREMENTS
A Bachelor's/Master's degree (or higher) in a technical field (Computer Science, Statistics, Economics, Operations Research, Math, Physics, Engineering, etc.) or equivalent work experience required.
minimum of 3+ years of professional experience in Data Science or Applied Machine Learning required
A deep theoretical understanding of modern machine learning algorithms, statistical models, or optimization
Extensive experience with data tools, Python (Pandas, Scipy, Numpy, Scikit-Learn, etc), R, SAS, SQL, etc and strong skills in data analysis, data visualization, and feature engineering
Ability to own your modeling work from model development all the way to production deployment and beyond with minimal help from engineers
Strong communication skills; Explaining complex technical concepts to product managers, data analysts, and other engineers shouldn't be a problem for you
OUR PREFERRED QUALIFICATIONS
Experience with MapReduce, Spark, Hive, HBase, Google BigQuery, and BigTable
Experience with ML frameworks like Tensorflow, PyTorch, Spark MLlib, XGBoost, and Scikit-Learn",3.4,"Postmates
3.4","San Francisco, CA",-1,1001 to 5000 Employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,-1
1,Data Scientist,$90k-$146k (Glassdoor Est.),"TOP SKILLS
Experience working directly with business decision-makers to help them use data to create value
Experience building predictive models and measuring the business impact of application of them
Experience in an agile fast-paced environment with continuously evolving priorities, self-sufficiently staying productive

The Data Scientist is responsible for creating recommendations for complex business decisions using predictive analytics. In addition to advanced analytics skills, this role is also proficient at integrating and preparing large, varied datasets, designing and implementing production algorithm scoring, and communicating results. You are primarily a data scientist but are passionate about developing advanced end-to-end analytics and technology solutions that drive value for our business.
RESPONSIBILITIES:
Develop analytical approaches to strategic business decisions
Extract, cleanse, and combine data from multiple sources and systems
Perform exploratory and targeted analyses, with a wide variety of statistical methods including: cluster, regression, decision tree/random forest, time series, neural network and others
Build and publish visualizations supporting measurement of outcomes related to the analytical projects
Collaborate cross-functionally to arrive at actionable insights
Synthesize analytic results with business input to drive measurable change
Effectively communicate technical analyses and results to business management
Develop and continually improve multi-source data architecture and analytics procedures, systems, workflows
Contribute to the development of end-to-end data driven solutions
Integrate and productionalize model results into both cloud and edge compute hardware platforms
QUALIFICATIONS:
2+ years of work experience in a predictive analytics-focused role
Masters degree in Applied Statistics/Mathematics, Data or Computer Science, or work experience equivalent
Strong knowledge of statistical methods and predictive/analytical modeling techniques and practices
Experience synthesizing and presenting analytics outcomes to senior executives
Experience with data preparation, rationalization, and processing in a cloud environment
Highly proficient with one or more data mining/predictive modeling tools: SQL, Snowflake, R, Python
Highly proficient with one or more data visualization tools: Tableau, Power BI
Practical understanding of mechanical systems and diverse hardware integration methods both a plus",4.2,"Horizontal
4.2","Plymouth, MN",-1,501 to 1000 Employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1
2,Data Scientist,$90k-$146k (Glassdoor Est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.7,"IFG Companies
2.7","Atlanta, GA",-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
3,Manager / Scientist,$90k-$146k (Glassdoor Est.),"Job Description: Provide support and manage all functions of flow cytometry scheduling, processing, acquisition, analysis and reporting for preclinical and/or clinical development within a Good Laboratory Practice (GLP) environment.*
Essential Duties and Responsibilities: *
Managerial*
Serves as a liaison between staff and test site management
Scheduling and delegating of day to day laboratory activity to provide smooth workflow during the day.
Maintain staff by helping to recruit, select and train new employees
Communication with employees on job expectations, daily activities, enforcing SOPs, policies, procedures and productivity standards
Scientific*
Be able to take on own projects for flow cytometry processing, acquisition, analysis and reporting
Scientific Review, QC and verification of flow cytometry data and/or maintenance records
Help maintain reagent inventory and placing orders for needed materials
Laboratory maintenance including preparation of various solutions, cleaning and re-stocking of laboratory
Archiving of study and/or maintenance records
Troubleshooting of data and various pieces of equipment
Communication with scientific colleagues via email, face-to-face or phone
Work in a team-oriented environment as well as independently
Familiarity with current scientific literature
Prepare data for poster or oral presentations
Attend scientific meetings when appropriate
Be able to follow signed protocols and standard operating procedures
Write standard operating procedures and study reports
Adhere to regulatory requirements
Qualifications and Requirements: *
PhD in a life science field with 5-10 years of hands on flow cytometry experience required and 5+ year managerial experience required
Familiar with BD FACSDiva, BD FACS Canto Flow Cytometer Instrumentation, FlowJo and Microsoft Office required.
Experience in a Good Laboratory Practice and/or Clinical Research environment beneficial but not required
Good oral communication skills, multi-taking and detail oriented
Team player attitude required
M-F normal business, flexibility to work after hours and weekends
Job Type: Full-time

Pay: $0.00 per year

Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Weekends
Experience:
Flow Cytometry: 5 years (Preferred)
Education:
Doctorate (Preferred)
Work authorization:
United States (Required)
Application Question:
Are you currently performing flow cytometry testing in the laboratory? What type of instruments and software do you use?
Work Remotely:
No",-1,"Flow Contract Site Laboratory, LLC","Bothell, WA",-1,-1,-1,-1,-1,-1,-1,-1
4,Data Engineer,$90k-$146k (Glassdoor Est.),"Data Engineer

Benefits Data Trust (BDT)
seeks a capable Data Engineer to help develop our new Google Cloud data platform and run our current data infrastructure. BDT embraces Data4Good and is a fast-growing, digitally enabled non-profit that improves benefits access for thousands of underserved people.

As part of our Data Engineering team in our Data Science department, the Data Engineer will:
Build out our new GCP data platform and collaborate on architectural patterns for it with the Data Engineering team
Support the development of machine learning models with productionizing, monitoring and alerting tools
Write, update, and maintain ETL jobs across our data pipelines (mostly in Airflow)
Implement continuous improvements using our existing tools/technologies, which include SQL, Airflow, Python, Docker/Kubernetes, and others such as Terraform and Apache Beam. May also be expected to research and select other tools when the situation demands
Collaborate with internal customers to identify ongoing platform improvements (teams including Analytics, Projects, Policy, Software Engineering, and others throughout the organization)
Consult to software engineers on data-related changes to BDT’s suite of software applications, including schema/model design, table structure, and data collection
Engage with colleagues and collaborators using curiosity, critical thinking, a drive to completion, empathy, and a focus on impact
Follow existing data access and performance design standards for the data platform, software engineering, and all products and services accessing BDT information
Based in our Center City Philadelphia office, the Data Engineer reports to the Director of Data Science.

Due to COVID-19, BDT is operating under a remote-working protocol, following governmental requirements and CDC guidelines. While this job will begin as fully remote, when BDT determines it is safe to do so based on public health recommendations, we will move back into our Centre Square office. At that time, all Philadelphia-based staff are expected to transition back into the office.

Successful candidates will demonstrate the following through their experience (typically 3-5 years as a Data Engineer):
Communication and Relationship-building – with technical peers and some stakeholders
Cloud-based Solution Implementation, of data platforms and infrastructure, including event-driven architectures, microservices and pattern design, supporting compliance and regulated environments (including PII and PHI)
Workflow and pipeline development to ensure reliability, availability, and consistency
Systems Engineering – on-system service management, typically in *nix environments
Data Modeling and Warehousing – proficient understanding of relational data structures and schemas; some familiarity with semi-structured, unstructured (big data) schemas
Automation, monitoring, and alerting – creating these tools based on existing designs and frameworks; resolving bugs and issues
Cloud engineering – working towards certification on any of the major hyperscale cloud platforms
Data Encapsulation & Transfer methodologies – understands standards for file formats and transfer methods
Also interested in relevant experience including:
o Experience with BI implementations/uplifts (we currently use Looker) and/or Data Governance models and methods
o Machine learning techniques, productionizing machine learning models, and/or creating models
About BDT

Benefits Data Trust (BDT) is a national nonprofit that helps people live healthier, more independent lives by creating smarter ways to access essential benefits and services. Each year, BDT helps tens of thousands of people receive critical supports using data, technology, targeted outreach, and policy change. Since its inception in 2005, BDT has screened more than one million households and secured over $7 billion in benefits and services. BDT employs more than 200 people and provides enrollment assistance to individuals in six states, and policy assistance to states nationwide. For more information, visit bdtrust.org.",3.2,"Benefits Data Trust
3.2","Philadelphia, PA",-1,51 to 200 Employees,2005,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),-1
5,Process Development Engineer/Scientist,$90k-$146k (Glassdoor Est.),"Process Development Engineer/Scientist
Lompoc/Buellton, CA*
FULL-TIME*
About Central Coast Agriculture: *
Headquartered north of Santa Barbara in the heart of the Santa Ynez Valley, CCA is a company focused on utilizing science and sustainability to grow quality, modern crops. Our unmatched commitment to innovating both organic farming and modern manufacturing means our customers have access to products that exceed expectations.

We breed, grow, and cultivate the highest quality cannabis so we can then process, manufacture, and package the highest quality single-source products on the market under our brand, Raw Garden.

We are a team of change makers, modern farmers, scientists, and business professionals focused on leading the charge for agricultural innovation.

We are on a mission to be the most trusted and loved brand in Cannabis.
About The Role: *
As a *Process Development Engineer*, you will play an Engineer/Scientist role. You will be the subject matter expert in Cannabis biomass handling, extraction, and refinement for the R&D team. Your role will include research activities to better understand process parameters to improve efficiency of existing operations involving Cannabis plant materials, in-process materials, and finished products. In this role you will also develop processes to enable new product development. At all times you will be closely linked to Manufacturing to ensure all recommended processes are scalable. You will participate in many cross-functional teams including Analytical Chemistry, Cultivation, and Manufacturing.
What You'll Do*
Lead R&D activities to support new process/product development.
Identify and develop methods for evaluating process efficiencies of raw materials, in-process materials, and finished products. These methods will directly correlate to product attributes valued by our Consumer.
Employ these methods to evaluate processes and materials to assure the integrity and quality of process and product development to deliver to our Consumer the highest quality products that meet their highly refined product and experience expectations.
Identify equipment, space, and utility requirements to set-up both a fully functional pilot plant for trialing new process improvements and new product development and production environments.
Develop and draft SOPs for new processes to transfer technology to Manufacturing
Assist in troubleshooting and resolving issues with any finished product quality concerns including initiating and monitoring corrective actions.
Learn and understand processes throughout R&D and Manufacturing to better assist with troubleshooting, determining root cause, and improving work processes.
Collaborate with Manufacturing on all aspects of production, including evaluation of new equipment and processes.
Ensure that safety is first priority in everything you do.
Prioritize work in a fast-paced environment to limit downtime and keep operations moving.
Instill and implement Good Lab Practices, keeping a clean and safe laboratory.
Work with the highest attention to detail and data integrity.
Maintain professionalism and live CCA’s core values at all times
Perform all other duties as assigned or inherent to the position
What You'll Need to Have*
· *Position Requirements: *
Advanced degree (MS/PhD) in relevant discipline or Bachelors Degree in Chemical/Process Engineering with 5 years relevant work experience or 7+ years direct experience in Cannabis biomass handling, extraction, and refinement required.
Hands-on experience and knowledge of plant biomass handling, extraction, and refinement processes, equipment, controls, and operations.
Experience in a pilot plant environment with knowledge of requirements to qualify processes for transfer to Manufacturing.
Experience in a Cannabis product Manufacturing environment with knowledge of requirements and regulations for production in the State of California.
Strong analytical skills. Demonstrate attention to detail and accuracy.
Knowledge of good laboratory best practices, including sample prep, handling, data recording, and record keeping.
Ability to work in a fast-paced environment and prioritize work while multitasking.
Demonstrate motivation and a good work ethic under minimal supervision.
Must work effectively in team environments.
Statistical process control skills and use of statistical analysis software required.
Highly collaborative and have excellent interpersonal skills.
Able to work independently and “roll up your sleeves” to make things happen.
Must possess a high degree of creativity in design and engineering to solve problems with equipment and materials at hand.
High intensity team player who thrives in a fast paced, dynamic environment.
Constantly questioning the way things are done in a constructive manner and thrives on change that improves results.
Experience with lean or six sigma process improvement frameworks a plus.
Open (no agendas), honest and trustworthy.
Effective leadership and strategic influencing skills.
Results oriented individual with a desire to manage change through to fruition.
Ability to prioritize and manage multiple projects at one time.
Expert user of Microsoft Office and/or Google’s G suite.
Functional knowledge of California cannabis regulations.
Must be 21 years of age (or older) at the time of hire.
Proficiency of the English language, verbal and written format.
Job Type: Full-time

Benefits:
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Holidays
Monday to Friday
Weekends
Experience:
Microsoft Office: 5 years (Required)
high degree of creativity in design and engineering: 5 years (Required)
Proficient in English written & Verbal: 5 years (Required)
lean or six sigma process improvement: 5 years (Required)
knowledge of requirements to qualify processes for transfer: 5 years (Required)
Cannabis product Manufacturing environment: 5 years (Required)
plant biomass handling, extraction, and refinement processes: 5 years (Required)
requirements and regulations for production in the State of: 5 years (Required)
CA Cannabis Regulations: 5 years (Preferred)
Cannabis biomass handling, extraction, and refinement: 5 years (Required)
Education:
Bachelor's (Required)
Location:
Buellton, CA 93427 (Required)
Benefit Conditions:
Waiting period may apply",5.0,"Central Coast Agriculture
5.0","Buellton, CA",-1,51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
6,CAD Operator/Remote Sensing Data Analyst,$90k-$146k (Glassdoor Est.),"We are hiring an experienced CAD Operator/Remote Sensing Data Analyst to help us keep growing.
If you’re dedicated and ambitious, Eye-bot is an excellent place to grow your career. Don’t hesitate to apply.
Required Qualifications
Minimum of 5 years of experience preparing existing conditions’ surveys
Proficient with the following software’s:
Microstation / OpenRoads
ContextCapture
AutoCAD / Civil3D
Microsoft Office (Word, Excel, PowerPoint, Outlook, Teams, etc.)
Google Earth Pro
Photogrammetric and/or LiDAR point clouds, Topography, Point classification, and DTM/DSM processing
Triangular Irregular Networks (T.I.N.) / Contours
Preferred Qualifications
Boundary and ALTA/NSPS Land Title surveys
Photogrammetric Mapping Experience
Working knowledge of conventional surveying equipment and GPS
Experience using terrestrial/mobile LiDAR, and Unmanned Aerial Systems
Adobe Creative Suite
Bluebeam pdf editor
Understanding trigonometric mathematics and data collection used in surveying
Understanding and applications using and applying different coordinate systems and projections.
Essential Duties and Responsibilities
Coordinate with project managers to ensure that multiple projects with simultaneous deadlines are completed on schedule (manage workloads and tasks for self and others)
Communicate with project teams via email and phone regularly throughout the design process
Field-to-Finish data import field data to create CAD files for various uses in engineering, design, and construction in both 2D and 3D CAD environments.
CAD drafting skills; knowledge regarding land surveying; courthouse research
Point cloud processing, Point classification, DTM/DSM surface creation
Develop quality products, using industry and client standards under the direct supervision of a Professional Land Surveyor
Position Details
Competitive compensation
Casual attire throughout the week
Friendly, open, and team-oriented work atmosphere
Excellent benefits for full-time employees including medical, vision, and dental
Eye-bot is an equal opportunity employer",5.0,"Eye-bot Aerial Solutions
5.0","New Kensington, PA",-1,1 to 50 Employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
7,Senior Data Analyst,$90k-$146k (Glassdoor Est.),"Please do not apply through Glassdoor; the application form needs to be completed in order to be considered. TO APPLY, VISIT: https://grnh.se/eb8d01633us.

About Us: At Emendata, we help bridge the gap between data and the real world. We partner with organizations that have a social mission and help them tackle their problems using analytics. Our role in these partnerships goes end to end—we handle everything from wrangling the data to analyzing the problem to turning the results into something actionable. Importantly, we understand that this analytics pipeline does not live in a vacuum. Getting to meaningful numbers requires more than just the right methods; it calls for understanding the people, policies, data, and systems involved. With this approach, our small but fast-growing team is having a big impact, taking on challenges like using analytics to combat fraud, waste, and abuse in Medicare.
About the Role: This role leads the way in producing analytics that reflect a deep level of understanding and a high degree of quality. We are looking for you to:
Take analyses from end to end: Understand the client’s problem, identify the right research question, plan the methodology, corral the data, code the analysis, interpret the results, craft the deliverable, and communicate the story
Apply a research mentality: Use all tools at our disposal (documentation, policy regulations, data investigations, etc.) to make sound analytic decisions
Help the team deliver its best work: Turn direction from clients/senior staff into tactical plans and work closely with data analysts to help them implement (conducting code reviews, teaching/reinforcing analytic strategies, etc.)
This role will be a good fit for people who naturally push towards progress and are undeterred when that requires a lot of effort or stepping into unfamiliar territory. Emendata is growing rapidly, and we are looking for people who are excited to march forward together.
Qualifications: If you do not meet all the criteria below but still think you would be a good fit for this role, please apply so we can see if we can find the right spot for you on the team. We value experience but also welcome aptitude and enthusiasm.
Education: Bachelor’s or master’s degree in a quantitative field or equivalent technical training
Programming: Experience with SAS is a must (comfortable with SAS macro language, advanced DATA step techniques such as hashes, and PROC SQL); experience with Python, Stata, R, or SQL is a plus
Technical Mentorship: Demonstrated experience with reviewing code and providing feedback
Data Management: Comfortable with the process of importing, cleaning, and preparing data for analysis in a reproducible way
Analysis: Exceptional problem-solving skills with a good understanding of statistical/social science research methods; 4+ years hands-on experience in an analytics role (e.g., economic consulting)
Working Style: Intellectually curious (keep pulling on threads until finding an answer), enterprising (eager to tackle the unknown and find a way to make things happen), and collaborative (work with others to explore, build, tear down, and build again)
To be considered for this position, applicants must have the ability to work in the U.S. without a need for current or future visa sponsorship.
About the Interview Process: We want both sides to learn what it would be like to work together. Part way through the interview process, we incorporate a lightweight at-home exercise that serves as the basis for a technical interview. The exercise gives us an outlet to show you what kind of problems this role would tackle and offers you an opportunity to show us how you would approach the work.",-1,Emendata,"Burlingame, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
8,Data Engineer,$90k-$146k (Glassdoor Est.),"Data Engineer Northern, VA

Data Engineer

NuWave Solutions is seeking Data Engineers to design and implement distributed, cloud-native data pipelines, storage systems, and query support. These capabilities will support next-generation defense and intelligence operations with a focus on enabling machine learning and automation. Teams will be working in an Agile development environment and expected to identify and mitigate risks and bottlenecks associated with big data environments. Other responsibilities include:
Architect, design, and implement updates and enhancements to data repositories and indices to support data ingest, enrichment, analysis, visualization, and dissemination
Perform database engineering and management activities associated with designing, developing, maintaining, and enhancing Big Data analytic systems using an Agile DevSecOps model
Integrate data from multiple sources in batches and real-time
Review, design, and develop data quality management processes and automated procedures intended to produce high levels of data integrity
Research and recommend solutions to complex problems
Oversee code reviews and delivering feedback regarding designs/code
Perform research and development and provide technical support to identify and integrate new and emerging technologies into the data environment
Design and implement storage and indexing strategies to provide efficient storage and retrieval to support visualizations such as graph-based and geospatial indices
Support design and development of data access APIs that allow enterprise access (as appropriate) to data
Develop or provide input to engineering artifacts associated with the data repositories
Requirements
Active Top-Secret clearance required
Minimum (positions are available at multiple levels of seniority) of a bachelor’s degree and 3 years of experience in a science or engineering field
Experience with SQL databases
Data transformation experience with scripting (Python, Java, Perl, PL/SQL) or platforms such as Spark, Talend, Knime, or Pentaho
Strong problem-solving skills
Good written and oral communications skills
Preferred Skills
Familiarity with no-SQL databases like Neo4j, ElasticSearch, or Cassandra
Familiarity with SQL query engines, preferably PrestoDB or SparkSQL
Familiarity with distributed platforms (i.e. HBase, Kafka, Spark, NiFi) and the cloud (i.e. AWS, GCP, Azure), preferably Amazon Web Services
Experience integrating open API based data access and processing
DOD8570 IAT Level 1 or 2 certified (A+, Security+, etc. certification)
About NuWave Solutions

NuWave Solutions is a recognized leader in providing anticipatory intelligence and advanced data analytics to the defense, intelligence, and private sectors for over 20 years. Leveraging artificial intelligence and machine learning methodologies, NuWave Solutions streamlines the Data-to-Decision lifecycle faster than traditional practices allowing clients to take action with confidence.

For more information on how NuWave Solutions supports its clients and builds upon success, please visit https://www.nuwavesolutions.com

Position Details

Locations of Positions: Reston, McLean, or Herndon, VA; Joint Base Andrews-Bolling, DC; Suitland, MD

Travel Required (CONUS/OCONUS): CONUS

If Travel is required, how much? 5%

Work Schedule: Day Shift

Authorization to work in US is required

8570 Requirements: N/A

NuWave Solutions is an Equal Opportunity Employer/Veterans/Disabled

Tagged as: Data Engineer",4.4,"NuWave Solutions
4.4",Virginia,-1,51 to 200 Employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
9,Data Engineer,$90k-$146k (Glassdoor Est.),"Data Engineer

Alignment Healthcare was founded with a mission to revolutionize health care with a serving heart culture. Through its unique integrated care delivery models, deep physician partnerships and use of proprietary technologies, Alignment is committed to transforming health care one person at a time.

By becoming a part of the Alignment Healthcare team, you will provide members with the quality of care they truly need and deserve. We believe that great work comes from people who are inspired to be their best. We have built a team of talented and experienced people who are passionate about transforming the lives of the seniors we serve. In this fast-growing company, you will find ample room for growth and innovation alongside the Alignment community.

Position Summary:
Alignment Healthcare is a data and technology driven healthcare company focused partnering with health systems, health plans and provider groups to provide care delivery that is preventive, convenient, coordinated, and that results in improved clinical outcomes for seniors.

We are experiencing rapid growth (backed by top private equity firms), our Data Services and BI team is looking for the best and brightest leaders. Data drives the way we make decisions. We love our customers and understanding them better makes it possible to provide the best clinical outcome and care experience.

This position will play a key role in building and operating a cloud-based data platform and its pipelines using big data technologies.

As a Data Engineer, you will develop a new data engineering platform that leverage a new cloud architecture, and will extend or migrate our existing data pipelines to this architecture as needed. You will also be assisting with integrating the SQL data warehouse platform as our primary processing platform to create the curated enterprise data model for the company to leverage. You will be part of a team building the next generation data platform and to drive the adoption of new technologies and new practices in existing implementations. You will be responsible for designing and implementing the complex ETL pipelines in cloud data platform and other solutions to support the rapidly growing and dynamic business demand for data, and use it to deliver the data as service which will have an immediate influence on day-to-day decision making.

General Duties/Responsibilities:

(May include but are not limited to)
Interfacing with business customers, gathering requirements and developing new datasets in data platform
Building and migrating the complex ETL/EDI pipelines from on premise system to cloud and Hadoop/Spark to make the system grow elastically
Identifying the data quality issues to address them immediately to provide great user experience
Extracting and combining data from various heterogeneous data sources
Designing, implementing and supporting a platform that can provide ad-hoc access to large datasets
Modelling data and metadata to support machine learning and AI
Minimum Requirements:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Minimum Experience:
3+ years relevant experience in cloud based data engineering.
Demonstrated ability in data modeling, ETL development, EDI Development and data warehousing.
Data Warehousing Experience with SQL Server, Oracle, Redshift, Teradata, etc.
Experience with Big Data Technologies (NoSQL databases, Hadoop, Hive, Hbase, Pig, Spark, Elasticsearch etc.)
Experience in using Python, .net, Java and/or other data engineering languages
Knowledge and experience of SQL Server and SSIS.
Experience with X12(837,834,278) and HL7 transactions
Education/Licensure:
Bachelors or Masters in Computer Science, Engineering, Mathematics, Statistics, or related field
Other:
Excellent communication, analytical and collaborative problem-solving skills
Requires Spark and Scala
Building and migrating the complex ETL/EDI pipelines from on premise system to cloud and Hadoop/Spark to make the system grow elastically
Preferred
Healthcare domain and data experience
Healthcare EDI experience is a plus
API development experience is a plus
Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets.
Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets
Experience building data products incrementally and integrating and managing datasets from multiple sources
Experience leading large-scale data warehousing and analytics projects, including using Azure or AWS technologies – SQL Server, Redshift, S3, EC2, Data-pipeline, Data Lake, Data Factory and other big data technologies
Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space
Linux/UNIX including to process large data sets.
Experience with Azure, AWS or GCP is a plus
Microsoft Azure Certification is a plus
Demonstrable track record dealing well with ambiguity, prioritizing needs, and delivering results in an agile, dynamic startup environment
Problem solving skills and Ability to meet deadlines are a must
Microsoft Azure Certification is a plus
Python and Java are a plus,
Experience with X12(837,834,278) and HL7 transactions preferred
Work Environment
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Essential Physical Functions:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to talk or hear. The employee regularly is required to stand, walk, sit, use hand to finger, handle or feel objects, tools, or controls; and reach with hands and arms.
The employee frequently lifts and/or moves up to 10 pounds. Specific vision abilities required by this job include close vision and the ability to adjust focus.
Alignment Healthcare, LLC is proud to practice Equal Employment Opportunity and Affirmative Action. We are looking for diversity in qualified candidates for employment: Minority/Female/Disable/Protected Veteran.
If you require any reasonable accommodation under the Americans with Disabilities Act (ADA) in completing the online application, interviewing, completing any pre-employment testing or otherwise participating in the employee selection process, please contact careers@ahcusa.com.
(function() { var ac = document.createElement('script'); ac.type = 'text/javascript'; ac.src = ('https:' == document.location.protocol ? 'https://' : 'http://') + 'click.appcast.io/pixels/grpeople1-1573.js?ent=8&t=' + new Date().getTime(); var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ac, s); })();",3.5,"Alignment Healthcare
3.5","Orange, CA",-1,501 to 1000 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
